encoder,pooling,feature_source,test_macro_f1,delta_f1_vs_4mer,test_kappa,delta_kappa_vs_4mer,test_accuracy,delta_accuracy_vs_4mer,C,timestamp,task,shuffled_labels
kmer,baseline,kmer,0.9606729160748666,,0.9213,,0.9606741573033708,,1000.0,2026-04-29T22:22:43+00:00,tf_vs_gpcr,False
dnabert2,base,dnabert2,0.9381065275802118,,0.8764,,0.9382022471910112,,1.0,2026-04-29T22:22:35+00:00,tf_vs_gpcr,False
dnabert2,meanmean,dnabert2_meanmean,0.9887640449438202,,0.9775,,0.9887640449438202,,10.0,2026-04-30T07:26:40+00:00,tf_vs_gpcr,False
dnabert2,meanD,dnabert2_meanD,0.971902131018153,,,,0.9719101123595506,,1.0,2026-04-30T07:26:57+00:00,tf_vs_gpcr,False
dnabert2,meanG,dnabert2_meanG,0.9606431030670584,,,,0.9606741573033708,,1000.0,2026-04-30T07:27:08+00:00,tf_vs_gpcr,False
dnabert2,maxmean,dnabert2_maxmean,0.9438131313131313,,,,0.9438202247191011,,10.0,2026-04-30T07:26:46+00:00,tf_vs_gpcr,False
dnabert2,clsmean,dnabert2_clsmean,0.971909225767762,,,,0.9719101123595506,,10.0,2026-04-30T07:26:50+00:00,tf_vs_gpcr,False
nt_v2,base,nt_v2,0.9775280898876404,,0.9551,,0.9775280898876404,,0.1,2026-04-29T22:22:39+00:00,tf_vs_gpcr,False
nt_v2,meanmean,nt_v2_meanmean,0.9831455354606571,,,,0.9831460674157303,,10.0,2026-04-30T07:27:12+00:00,tf_vs_gpcr,False
nt_v2,meanD,nt_v2_meanD,0.9887640449438202,,0.9775,,0.9887640449438202,,10.0,2026-04-30T07:27:32+00:00,tf_vs_gpcr,False
nt_v2,meanG,nt_v2_meanG,0.9662921348314607,,,,0.9662921348314607,,0.01,2026-04-30T07:27:46+00:00,tf_vs_gpcr,False
nt_v2,maxmean,nt_v2_maxmean,0.971909225767762,,,,0.9719101123595506,,0.1,2026-04-30T07:27:17+00:00,tf_vs_gpcr,False
nt_v2,clsmean,nt_v2_clsmean,0.9382002966890761,,,,0.9382022471910112,,100.0,2026-04-30T07:27:22+00:00,tf_vs_gpcr,False
shuffled,baseline,shuffled,0.46587068448150604,,-0.0674,,0.46629213483146065,,0.1,2026-04-29T22:23:08+00:00,tf_vs_gpcr,True
length,baseline,length,0.7340665628278076,,,,0.7359550561797753,,1.0,2026-04-29T22:22:45+00:00,tf_vs_gpcr,False
kmer,baseline,kmer,0.8392344497607656,,0.6786,,0.8392857142857143,,1000.0,2026-04-29T22:22:43+00:00,tf_vs_kinase,False
dnabert2,base,dnabert2,0.8329545454545455,,,,0.8333333333333334,,1.0,2026-04-29T22:22:36+00:00,tf_vs_kinase,False
dnabert2,meanmean,dnabert2_meanmean,0.8869007547036105,,0.7738,,0.8869047619047619,,10.0,2026-04-30T07:26:41+00:00,tf_vs_kinase,False
dnabert2,meanD,dnabert2_meanD,0.8869007547036105,,0.7738,,0.8869047619047619,,10.0,2026-04-30T07:26:58+00:00,tf_vs_kinase,False
dnabert2,meanG,dnabert2_meanG,0.8749955709882011,,,,0.875,,10.0,2026-04-30T07:27:09+00:00,tf_vs_kinase,False
dnabert2,maxmean,dnabert2_maxmean,0.791067050421064,,,,0.7916666666666666,,1.0,2026-04-30T07:26:47+00:00,tf_vs_kinase,False
dnabert2,clsmean,dnabert2_clsmean,0.8333333333333334,,,,0.8333333333333334,,100.0,2026-04-30T07:26:51+00:00,tf_vs_kinase,False
nt_v2,base,nt_v2,0.8444444444444444,,0.6905,,0.8452380952380952,,100.0,2026-04-29T22:22:40+00:00,tf_vs_kinase,False
nt_v2,meanmean,nt_v2_meanmean,0.8446878111221732,,,,0.8452380952380952,,100.0,2026-04-30T07:27:13+00:00,tf_vs_kinase,False
nt_v2,meanD,nt_v2_meanD,0.8444444444444444,,,,0.8452380952380952,,1000.0,2026-04-30T07:27:33+00:00,tf_vs_kinase,False
nt_v2,meanG,nt_v2_meanG,0.8507621788721884,,,,0.8511904761904762,,100.0,2026-04-30T07:27:47+00:00,tf_vs_kinase,False
nt_v2,maxmean,nt_v2_maxmean,0.8333333333333334,,,,0.8333333333333334,,0.1,2026-04-30T07:27:18+00:00,tf_vs_kinase,False
nt_v2,clsmean,nt_v2_clsmean,0.7678489175495165,,,,0.7678571428571429,,0.1,2026-04-30T07:27:23+00:00,tf_vs_kinase,False
shuffled,baseline,shuffled,0.5473624503686898,,0.0952,,0.5476190476190477,,0.1,2026-04-29T22:23:09+00:00,tf_vs_kinase,True
length,baseline,length,0.6426545660805445,,,,0.6428571428571429,,0.01,2026-04-29T22:22:46+00:00,tf_vs_kinase,False
