encoder,pooling,feature_source,test_r2_macro,delta_vs_4mer,test_mean_cosine,test_median_cosine,alpha,timestamp
kmer,baseline,kmer,0.1742565631866455,0.0,0.93062824010849,0.9222804307937622,0.01,2026-04-18T20:25:47+00:00
dnabert2,base,dnabert2,0.18121564388275146,0.006959080696105957,0.9312981367111206,0.922146201133728,10.0,2026-04-18T19:53:58+00:00
dnabert2,meanmean,dnabert2_meanmean,0.20289850234985352,0.028641939163208008,0.9332756400108337,0.9244959950447083,10.0,2026-04-30T07:38:29+00:00
dnabert2,meanD,dnabert2_meanD,0.20998696982860565,0.035730406641960144,0.9339601397514343,0.925741970539093,10.0,2026-04-30T07:38:32+00:00
dnabert2,meanG,dnabert2_meanG,0.21035628020763397,0.036099717020988464,0.9340037107467651,0.9258754253387451,10.0,2026-04-30T07:38:33+00:00
dnabert2,maxmean,dnabert2_maxmean,0.16062964498996735,-0.013626918196678162,0.9292553067207336,0.9206721782684326,100.0,2026-04-30T07:38:30+00:00
dnabert2,clsmean,dnabert2_clsmean,0.191070094704628,0.016813531517982483,0.9321852326393127,0.9234837889671326,100.0,2026-04-30T07:38:30+00:00
nt_v2,base,nt_v2,0.19256477057933807,0.018308207392692566,0.9323520064353943,0.9254471063613892,10.0,2026-04-18T22:58:59+00:00
nt_v2,meanmean,nt_v2_meanmean,0.19315965473651886,0.018903091549873352,0.932412326335907,0.9255432486534119,10.0,2026-04-30T07:38:34+00:00
nt_v2,meanD,nt_v2_meanD,0.18817661702632904,0.013920053839683533,0.93189537525177,0.9251985549926758,100.0,2026-04-30T07:38:37+00:00
nt_v2,meanG,nt_v2_meanG,0.19019196927547455,0.01593540608882904,0.9320908784866333,0.9250916838645935,100.0,2026-04-30T07:38:39+00:00
nt_v2,maxmean,nt_v2_maxmean,0.13551191985607147,-0.038744643330574036,0.9271479845046997,0.9204649329185486,100.0,2026-04-30T07:38:35+00:00
nt_v2,clsmean,nt_v2_clsmean,0.11716404557228088,-0.057092517614364624,0.9251418709754944,0.9191345572471619,100.0,2026-04-30T07:38:36+00:00
gena_lm,base,gena_lm,0.11730758100748062,-0.056948982179164886,0.9250584244728088,0.9184562563896179,100.0,2026-05-05T19:41:12+00:00
gena_lm,meanmean,gena_lm_meanmean,0.11730758100748062,-0.056948982179164886,0.9250584244728088,0.9184562563896179,100.0,2026-05-05T19:41:18+00:00
gena_lm,meanD,gena_lm_meanD,0.1084156334400177,-0.06584092974662781,0.9244051575660706,0.9172859191894531,100.0,2026-05-05T19:41:25+00:00
gena_lm,meanG,gena_lm_meanG,0.11182292550802231,-0.0624336376786232,0.9244526624679565,0.9184787273406982,1000.0,2026-05-05T19:41:38+00:00
gena_lm,maxmean,gena_lm_maxmean,0.04002624750137329,-0.13423031568527222,0.9178189039230347,0.9135270118713379,1000.0,2026-05-05T19:43:21+00:00
gena_lm,clsmean,gena_lm_clsmean,0.1092628464102745,-0.064993716776371,0.9242216348648071,0.9185050129890442,100.0,2026-05-05T19:43:27+00:00
hyena_dna,base,hyena_dna,0.18219588696956635,0.007939323782920837,0.931344747543335,0.9236313104629517,1.0,2026-05-05T20:17:49+00:00
hyena_dna,meanmean,hyena_dna_meanmean,0.18219588696956635,0.007939323782920837,0.931344747543335,0.9236313104629517,1.0,2026-05-05T20:17:50+00:00
hyena_dna,meanD,hyena_dna_meanD,0.18177364766597748,0.00751708447933197,0.9313692450523376,0.9235037565231323,1.0,2026-05-05T20:17:51+00:00
hyena_dna,meanG,hyena_dna_meanG,0.17918439209461212,0.004927828907966614,0.9310213327407837,0.9232905507087708,10.0,2026-05-05T20:17:52+00:00
hyena_dna,maxmean,hyena_dna_maxmean,0.1329001784324646,-0.04135638475418091,0.9265619516372681,0.919337809085846,100.0,2026-05-05T20:17:53+00:00
hyena_dna,clsmean,hyena_dna_clsmean,-0.0015016966499388218,-0.17575825983658433,0.9129231572151184,0.9130721092224121,0.01,2026-05-05T20:17:54+00:00
enformer_tracks_center,baseline,enformer_tracks_center,0.01353320199996233,-0.16072336118668318,0.917107105255127,0.910784900188446,1000.0,2026-05-06T19:58:37+00:00
enformer_trunk_center,baseline,enformer_trunk_center,0.1424816995859146,-0.031774863600730896,0.9274525046348572,0.9200111031532288,1000.0,2026-05-06T19:58:25+00:00
enformer_trunk_global,baseline,enformer_trunk_global,0.13893455266952515,-0.03532201051712036,0.9271116256713867,0.9191821217536926,100.0,2026-05-06T19:58:13+00:00
enformer_tss_4mer,baseline,enformer_tss_4mer,0.04134269431233406,-0.13291386887431145,0.9173449277877808,0.9148357510566711,0.01,2026-05-06T16:49:59+00:00
